,Topic,Count,Name,Representation,Representative_Docs
0,-1,868694,-1_trump_russia_like_just,"['trump', 'russia', 'like', 'just', 'people', 'dont', 'know', 'did', 'right', 'obama']","[""you stated to me that's crazy rofl more mental illness symptoms this is just not your day is it russia and the us uk eu coalition are fighting isis for you to think it is safe for those fighting forces to be in the same fight but not in a coordinated way is what is really crazy right a clinton victory will bring war with russia and put the us into a rapid decline if you can't understand that then talk with a history professor skilled in military strategy you love to run away from answering my questions but that is what clinton has done all along right i am going to give you another chance to redeem your lost honor why did you let clinton brainwash you into believing that her extreme carelessness with national security her mismanagement of billion in contracts while sos and her serial lying are safe wonderful and outstanding leadership qualities what will happen after the first russian or us nato aircraft is shot down"", 'illegal crossings down illegal arrests up big against illegals with criminal history going after ms historic employment reported last month in states unemployment lowest since budget surplus b since told nato to pay fair share and they are finally doing so what a speech in poland slapped putin n korea iran as he had more flexibility now debt down b since elected consumer confidence at killed tpp hrc finally admitted this was bad and trump killed it as promised historic stock market levels never seen before the s p broke trillion for the first time in its history helping small business killing job killing eo s reversed obama land grab allowing us to use our own natural resources black employment up since trump elected paris agreement gave china years torn up bombs at putin s man in syria and no syrian rapists allowed in supreme court gorsuch a true constitutionalist pushing for photo id to be enforced gas is a gallon bill passed helping the va improve service and other bills passed focus on production in america', ""even bush ii spent million investigating voter fraud and found essentially nothing if democrats were going to commit voter fraud by signing up million illegal voters it wouldn't be in ca it would have been in states like mi wi pa etc if there were million illegal voters trump would not be president you would be saying president hillary clinton like democrats need to wake up and stop blaming others for their democratic party failureship republicans such as yourself need to wake up and stop imagineering fantasy conspiracies like benghazi exonerated by republicans quietly though they kept the commissions alive for political reasons pizzagate see mcmartin preschool witch hunt and fake satanic child abuse and millions of illegal voters which don't exist damn supporters of hillary and you have much in common pointing fingers elsewhere both sides are fantasists who deny all responsibility here is the real deal more voters did not vote for either candidate less of a percentage voted for trump than voted for obama hillary actually had more votes of eligible voters elected trump of eligible voters voted for hillary of eligible voters did not select trump most voters who did vote for trump and hillary held their noses most did not like either and did not vote trump is elected by a minority you have no super mandate he's the least smelliest dog turd in six states that had the electoral votes to swing it trump's way out of the two dog turds overall trump is the smelliest dog turd a vote victory out of tens of millions of votes say one thing about trump he's not popular he's a dog turd much like hillary""]"
1,0,117111,0_ha_youre_aha_lol,"['ha', 'youre', 'aha', 'lol', 'haha', 'thats', 'im', 'dont', 'know', 'stupid']","['just saying stupid things does not make them true', ""that's what you got from this lol"", 'and we saw that in the years right ha ha ha ha ha ha ha ha ha ha ha ha ha ha']"
2,1,99932,1_tax_taxes_debt_pay,"['tax', 'taxes', 'debt', 'pay', 'money', 'economy', 'jobs', 'income', 'trillion', 'spending']","['top pay over of the federal income taxes are you in the top', 'they do pay most federal taxes just not personal income tax', ""first stop panicking we will pay this debt off the same way we paid off the debt inccurred in the years from wwi thru the great depression and wwii we will need the participation of both parties in accomplishing it though of course there are two main obstacles the deficit and the economy we can't just cut our way out of the deficit new revenues will be necessary corporation taxes are at an historic low with many huge multinationals paying almost nothing causing small businesses defined by gross income not number of employees to pay more than they should tax reform in both individual and corporate tax policies will be necessary and the economy it has been years of conservatism that has led to the implosion of the middle class and the consumer spending that it provides whether you agree or not we have a consumer based economy not an investment based until we get more money into the hands of the general public the economy will stay stagnant you state that you don't believe keynesian theory but i believe that it has been government spending that has kept us out of economic depression and until businesses start investing in their businesses driven by customers the only source of the money is the government i realize i have not proven anything but looking back years and the changes that have occurred makes me believe that anyone predicting the next is either a charlatan or an idiot and we all must do what we can to help""]"
3,2,55199,2_covid_virus_vaccine_drug,"['covid', 'virus', 'vaccine', 'drug', 'drugs', 'vaccinated', 'flu', 'vaccines', 'pandemic', 'deaths']","['not with china where do you think the virus come from cdc', ""democrats all are decisions are based on data reality kids are times more likely to die from the vaccine than from covid in the us there have been exactly deaths under the age of attributed to covid of those all but had a severe comorbidity considering the death rate for covid for kids under is its probably not a good idea to give them a drug for a disease that doesn't hurt them"", 'trump never told his base not to get vaccinated geez he had covid and also took vaccine']"
4,3,53041,3_hillary_shes_clinton_melania,"['hillary', 'shes', 'clinton', 'melania', 'woman', 'lady', 'michelle', 'ivanka', 'clintons', 'hillarys']","['nobody sane would vote for hillary clinton and her lies there is no way republicans would vote for hillary clinton unless there was something in it for them if they really took the country before party they would have indicted hillary a long time ago', 'we will never vote for hillary', ""so is hillary's""]"
5,4,40340,4_kkk_constitution_black_white,"['kkk', 'constitution', 'black', 'white', 'flag', 'racist', 'antifa', 'rights', 'america', 'klan']","['the ku klux klan supports republicans as a whole the kkk aligns itself with the republican party the only question here is do you align yourself with the kkk', 'not in congress less than of the gop in congress are black', 'that s just stupid they love trump kkk is part of the republican party keep embarrassing yourself some more']"
6,5,36396,5_trump_president_bernie_trumps,"['trump', 'president', 'bernie', 'trumps', 'donald', 'hes', 'traitor', 'sanders', 'supporters', 'carson']","[""who's bernie sanders"", 'how many under trump', 'my vote is for bernie sanders']"
7,6,30114,6_racist_black_white_blacks,"['racist', 'black', 'white', 'blacks', 'racism', 'race', 'whites', 'blm', 'police', 'color']","['why do they keep telling white people that black lives matter black people need to be told that', 'why are you racist', 'there is nothing racist about that i am not a racist nor is trump']"
8,7,28727,7_gop_dems_democrats_republicans,"['gop', 'dems', 'democrats', 'republicans', 'party', 'republican', 'democrat', 'vote', 'dem', 'democratic']","['gop is done', 'see trump and the gop', 'gop has been party over country for a while now']"
9,8,25252,8_climate_warming_oil_coal,"['climate', 'warming', 'oil', 'coal', 'energy', 'global', 'epa', 'solar', 'change', 'gas']","['and global warming', 'you babble incoherently i cite science statement on climate change from scientific associations observations throughout the world make it clear that climate change is occurring and rigorous scientific research demonstrates that the greenhouse gases emitted by human activities are the primary driver american association for the advancement of science the scientific evidence is clear global climate change caused by human activities is occurring now and it is a growing threat to society american chemical society comprehensive scientific assessments of our current and potential future climates clearly indicate that climate change is real largely attributable to emissions from human activities and potentially a very serious problem american geophysical union human induced climate change requires urgent action humanity is the major influence on the global climate change observed over the past years rapid societal responses can significantly lessen negative outcomes adopted revised and reaffirmed american medical association our ama supports the findings of the intergovernmental panel on climate change s fourth assessment report and concurs with the scientific consensus that the earth is undergoing adverse global climate change and that anthropogenic contributions are significant american meteorological society it is clear from extensive scientific evidence that the dominant cause of the rapid change in climate of the past half century is human induced increases in the amount of atmospheric greenhouse gases including carbon dioxide co chlorofluorocarbons methane and nitrous oxide american physical society the evidence is incontrovertible global warming is occurring if no mitigating actions are taken significant disruptions in the earth s physical and ecological systems social systems security and human health are likely to occur we must reduce emissions of greenhouse gases beginning now the geological society of america the geological society of america gsa concurs with assessments by the national academies of science the national research council and the intergovernmental panel on climate change ipcc that global climate has warmed and that human activities mainly greenhouse gas emissions account for most of the warming since the middle s revised science academies international academies joint statement climate change is real there will always be uncertainty in understanding a system as complex as the world s climate however there is now strong evidence that significant global warming is occurring the evidence comes from direct measurements of rising surface air temperatures and subsurface ocean temperatures and from phenomena such as increases in average global sea levels retreating glaciers and changes to many physical and biological systems it is likely that most of the warming in recent decades can be attributed to human activities ipcc international science academies u s national academy of sciences the scientific understanding of climate change is now sufficiently clear to justify taking steps to reduce the amount of greenhouse gases in the atmosphere', 'like man made climate change lol']"
10,9,18685,9_obama_obamas_barack_president,"['obama', 'obamas', 'barack', 'president', 'bush', 'did', 'blame', 'years', 'hussein', 'administration']","['like obama', 'and obama was in on it', 'obama who']"
11,10,18034,10_texas_blue_red_states,"['texas', 'blue', 'red', 'states', 'state', 'california', 'city', 'alabama', 'cities', 'detroit']","['lol in that case texas is now blue', 'texas will go blue long before california goes red', 'california has been more red than blue']"
12,11,18005,11_fox_news_cnn_media,"['fox', 'news', 'cnn', 'media', 'fake', 'hannity', 'breitbart', 'propaganda', 'msnbc', 'press']","['fake news cnn', 'when did we do that fox news', 'i see only on the fox news']"
13,12,17739,12_orange_cult_maga_women,"['orange', 'cult', 'maga', 'women', 'men', 'sexual', 'cultists', 'cons', 'cultist', 'rape']","['orange man bad', 'but trump is the first orange president', 'how about orange']"
14,13,17650,13_isis_saudi_muslim_syria,"['isis', 'saudi', 'muslim', 'syria', 'muslims', 'islam', 'arabia', 'saudis', 'terrorists', 'islamic']","['saudi arabia', 'so is saudi arabia', 'obama and bush side with saudi arabia and not the american people']"
15,14,17595,14_putin_russia_fbi_russian,"['putin', 'russia', 'fbi', 'russian', 'russians', 'comey', 'putins', 'nsa', 'cia', 'dossier']","['putin does', 'f putin', 'putin is that you']"
16,15,15754,15_biden_joe_bidens_president,"['biden', 'joe', 'bidens', 'president', 'dementia', 'trump', 'harris', 'vp', 'won', 'vote']","['what does trump have to do with biden', 'him or biden will be the next president', 'and biden']"
17,16,15092,16_facts_troll_lie_truth,"['facts', 'troll', 'lie', 'truth', 'evidence', 'liar', 'lies', 'proof', 'lying', 'bs']","['show facts o', 'they are facts', 'just the facts']"
18,17,14115,17_liberals_liberal_conservatives_wing,"['liberals', 'liberal', 'conservatives', 'wing', 'conservative', 'leftist', 'left', 'leftists', 'right', 'wingers']","['if a liberal could actually make it on their own they would be a conservative', 'liberals hate everything', 'liberals are stupid']"
19,18,12835,18_china_chinese_chinas_trade,"['china', 'chinese', 'chinas', 'trade', 'communist', 'xi', 'tariffs', 'beijing', 'huawei', 'russia']","['move to china if you like there so much', 'but but but china', 'call china']"
20,19,12669,19_gun_guns_nra_firearms,"['gun', 'guns', 'nra', 'firearms', 'nbsp', 'firearm', 'weapons', 'background', 'shootings', 'control']","['first law is to pass is gun control law we are losing way too many lives in guns', 'do any dems own guns and support gun rights', 'so is it the gun or is it something else']"
21,20,12168,20_obamacare_insurance_health_healthcare,"['obamacare', 'insurance', 'health', 'healthcare', 'care', 'aca', 'medicare', 'plan', 'coverage', 'premiums']","[""so popularity is important except when the public chooses a program you don't support huh the reason that obamacare is not popular is because it's a bad deal for almost everyone millions of individuals lost their health insurance and long time doctors as a direct result of obamacare millions of workers lost their employer based health insurance by being dumped into high deductible obamacare plans millions of others are paying up to of their income to support a failed and wasteful program that is insuring only half the people predicted just three years ago unlike medicare which was passed by a large bipartisan congressional majority and was immediately popular with the public obamacare has never had anything close to majority support more than six years after its passage obamacare is as unpopular as ever"", 'i wonder if he has obamacare', 'stupid is obamacare']"
22,21,11529,21_border_immigration_illegal_illegals,"['border', 'immigration', 'illegal', 'illegals', 'immigrants', 'aliens', 'borders', 'deport', 'amnesty', 'illegally']","[""i don't know why i was ever against illegal immigration now that you show me that"", ""no reason to fear president trump's decision that is why he was elected he is just fulfilling a campaign promise the illegal alien children brought here by their parents illegally are just that illegal aliens they are not american citizens i repeat they are not american citizens therefore they are subject to deportation according to our immigration laws obama's actions were illegal all laws have to be passed by the united states congress sorry bleeding heart leftest liberals these are facts not fiction if you are illegal it does not matter your age when you entered my country illegally you have to be deported according to the law most legal american citizens do not want illegals in this country bottom line thank you president trump for this decision in putting legal american young people first i sincerely hope congress agrees with the vast of legal americans who do not want illegal aliens whatever their age in our country warning if congress does not comply with the will of the american people many will be removed come the election in that is a fact you can count on we all want our country back"", ""illegal means illegal it's time to end illegal immigration""]"
23,22,11300,22_insurance_health_healthcare_medicare,"['insurance', 'health', 'healthcare', 'medicare', 'care', 'medicaid', 'coverage', 'costs', 'medical', 'pay']","['going without health insurance makes you poor', 'that is what insurance is for', 'so is private healthcare insurance']"
24,23,9964,23_abortion_abortions_parenthood_babies,"['abortion', 'abortions', 'parenthood', 'babies', 'birth', 'planned', 'fetus', 'baby', 'women', 'pro']","['true conservatives favor abortions abortion has saved our conservative movement i want less taxes less regulations less welfare if these million babies were born we would have more demo rat voters more food stamps more crime more costs in schools more taxes more single mothers abortions are far cheaper to society for welfare food stamps social workers etc than imprisonment and executions everything about abortion is favorable to conservatives i want planned parenthood doing more birth control and more abortions abortion helps true conservatives think about this logically', 'like abortion', 'abortion is killing']"
