article_id,comment
710109851,make a real deal or make the sequestration cuts that was the agreement no weaseling out of it buck
710109851,buck mckeon r calif are you kidding me i blame bo on many things but not this one didn't the gop sign up to this didn't the gop reject a proposal to cut spending coupled with some tax increases sorry but this is what you guys agreed to maybe just maybe if those old proposals were back on the table something can get done
710109851,it turns out that chip brogan is a phony conservative who is pursuing a gay marriage with h abe they live in a van with van jones in san fran true story
710109851,eisenhower called it right about the military industrial complex
710109851,the refusal to increase the debt limit without spending cuts gave birth to sequestration and now the republicans want to abort
710109851,ike could have never envisioned the social justice complex that we have today atleast with the dod we are constitutionally mandated and really necessary
710109851,you're right on tea party proud and i'm a moderate dem talking sides agreed to this buck get over it and quit trying to change the rules midstream
710109851,hahahahahahahahahahahahahahahaha mckeon tries to pull a 'do as i say do not as i do' and got caught by the big bad jam it in your as machine today wwwwhhhhhhhaaaaaaaaaa
710109851,obama is irresponsible the sequester which was to force a deal has failed he is now asking the republicans who have produced a budget in the house to reject it as a condition before he will do anything he wants them to be as irresponsible as he is this is evidence that he is the most irresponsible president ever on national defense all the time leaking information about the seals approving the killing of terrorists while preening about gitmo but denying us the ability to interrogate them to gather information that would protect the country his actions are incoherent and without sound basis he is not leading on defense he is making us weaker by chest thumping he has shown he does not know how to lead if he did he would have kept his mouth shut kept the details secret and taken the lead to get this sequester mess fixed
710109851,how dare they stick to the deal that both sides agreed to mckeon is a blowhard
710109851,i'm shocked shocked that our elected officials have turned our military into a poker chip in their game of high stakes power politics for the second time today shame on all of you and a pox on both your houses
710109851,buck it looks like the gop needs to get off its high horse and negotiate just like the founding fathers intended
710109851,a voice of reason from the tea party i'm impressed
710109851,actually there are many tea party types that are moderate in many aspects we all agree the debt is killing the country some are willing to take the center road to address it sensible tax increases enforce the tax laws cut spending reduce regulations where possible and educate people so that they can get solid jobs
710109851,dwight d eisenhower award from the national defense industrial association i may be mistaken but i believe it was ike that warned us against the 'military industrial complex' seems strange to me that the ndia would name their award after their probalby most credible and prescient critic
710109851,didn't he vote for the budget control act now he's pandering to the military industrial complex association ha
710109851,come it's obama's fault no matter what president romney will have every right to blame obama for everything gw will be at home in tx laughing his azz off
710109851,great michelle you're right elected or not obama will be remembered for his failures his hopey thing turned into a dopey thing anyone who voted for him is without a doubt clueless and just plain stupid
710109851,right failures like killing obl after bush did nothing to do it
710109851,i like you neocon crybabies especially since you were kicked out in
710109851,van jones is an american environmental advocate civil rights activist and attorney jones is a co founder of three non profit organizations in he founded the ella baker center for human rights a california non governmental organization working for alternatives to violence in he co founded color of change an advocacy group for african americans in he founded green for all a national ngo dedicated to building an inclusive green economy strong enough to lift people out of poverty his first book the green collar economy was released on october and reached number on the new york times best seller list in time magazine named jones one of its heroes of the environment fast company called him one of the most creative minds of
710109851,mckeon ought to be ashamed of himself he's willing to see the country go further into debt and deeper in the hole he and his war machine comrades salivate for as a republican i am ashamed of mckeon he truly represents what is wrong with congress all he knows is spend spend spend mckeon is truly no better than reid they are both career politicians who need to be retired this country needs to find ways to reduce it's trillion deficit neither harry reid nor buck mckeon have a clue as to how it will be done yet they are responsible for it
710109851,i think the headline is misleading aren't the obama administration and sen reid enforcing sequestration not ignoring it
710109851,more flatulence from these right wing gasbags
710109851,the country would be a better place if all tea party republicans had your attitude we may disagree on a lot of issues but i agree with you on this one isn't this a case of 'watch what you wish for' i happen to be a 'liberal' that believes in a strong military that being said i doubt the sequester is going to hurt that much because i bet there is at least that much savings with military waste and redundancies
710109851,there are no terrorists to interrogate because obama kills them all dead something bush and cheney utterly failed to do in their lust to use as a pretext to take iraq's oil
710109851,whoa there obama asked for a hike in the debt ceiling like they have been requested many times before and never questioned never the repubs said no obama and boehner worked out a deal the repubs said no to save face mcconnel asked for the 'super committee' with the sequester as a fall back if no agreement repubs don't want any tax increases because of grover's threats so the sequester goes into effect so you blaming obama is a bit wrong try blaming grover he's the reason the military is weakened
710109851,i wouldn't call spending like a drunken sailor as obama and reid do very often as being thrifty these two liberal dirt bags need to put america first for a change instead of their own personal and political agenda and that doesn't mean swelling the welfare role when will liberals ever learn that entitlement programs are sucking the life out of this nation and they want to expand on this dum mass liberals
710109851,hey graham please get your facts right stop barfing up the hannity crap that you swallowed last night
710109851,so according to graham obama is irresponsible but mckeon who welched on his agreement is great lolz do you really need nuclear aircraft carriers in order to defend the border of america not counting guam hawaii
710109851,ron where can i read your comments about objecting to cheney's 'defecit's don't matter' bit just curious why you're only complaining that the black dude is in charge
710109851,i have to use that line on a far right wing extremist at some point
710109851,where in the constitution do you need nuclear aircraft carriers or submarines please you're just another military industrial complex supporter
710109851,obama himself complained when bush raised the debt limit stood up before everyone and gave a big long speech about how it was gw's monumental failure to raise the debit limit u need to know a little recent history ur talking out of your nethers
710109851,i just got off the phone with one of the girls i knocked up damn i still like her
710109851,shut up commie
710109851,fock you negro loving commie anti american skuzz freak
710109851,we are here waiting for the call and we will win god help us onward christian soldiers marching as to war with the cross of jesus going on before christ the royal master leads against the foe forward into battle see his banners go onward christian soldiers marching as to war with the cross of jesus going on before at the sign of triumph satan's host doth flee on then christian soldiers on to victory hell's foundations quiver at the shout of praise brothers lift your voices loud your anthems raise onward christian soldiers marching as to war with the cross of jesus going on before like a mighty army moves the church of god brothers we are treading where the saints have trod we are not divided all one body we one in hope and doctrine one in charity onward christian soldiers marching as to war with the cross of jesus going on before what the saints established that i hold for true what the saints believed that i believe too long as earth endureth men the faith will hold kingdoms nations empires in destruction rolled onward christian soldiers marching as to war with the cross of jesus going on before crowns and thrones may perish kingdoms rise and wane but the church of jesus constant will remain gates of hell can never 'gainst that church prevail we have christ's own promise and that cannot fail onward christian soldiers marching as to war with the cross of jesus going on before onward then ye people join our happy throng blend with ours your voices in the triumph song glory laud and honour unto christ the king this through countless ages men and angels sing onward christian soldiers marching as to war with the cross of jesus going on before
710109851,lol the spending is the democrats years before bush left he dealt with a democratic congress and senate spend spend spend years into obama presidency he and his minions spent and spent and spent then the country took congress and they still spend in november the spending will stop you need to wake up you are blinded by lies and half truths god help us
710109851,all left wing news channels and books or news so full of lies
710109851,i think billion is a good start i hope it sticks why are the wingers opposed to spending cuts anywho
710109851,fact just plain pitiful that america's enemies aren't obama's enemies and so obama is truly the enemy within
710109851,cool then let's cuts all the social services the million cell phones we pay for and their monthly bill
710109851,fact some just wanted the across the board cut called sequestration changed to just a cut at same amount but defense department picks and chooses where to cut not across all defense departments we need spending cuts first until it hurts then raise small amount left in taxes to balance
710109851,well now there are some real credible references you have told half truths all over bush didn't go to war by himself the dems had been screaming for it all through clinton's admin look up all their quotes
710109851,tsk tsk another lie who in the he ll do you think put together seal team six cheney they did stop one mission due to the fact it had grown too massive and cheney was worried about the safety of our troops i take it you never served since you have no grasp on how things are done
710109851,well put if he would get off the drugs once in awhile he might think more rationally he speaks with forked tongue if it is his idea it is great if a republican comes up with one he hates it but then takes credit like getting bin ladin the general gave the order o had to bodily taken off the golf course let's not forget his own dem senate voted down his budget multiple times now the dems are backing away as they well should
710109851,fact wud yo talkin abot buckwheat romney crack corn in
710109851,van jones is an admitted communist that is funded totally by george soros jones is a major pos
710109851,big governmental cuts are badly needed especially in dod for a decade they have spent like well drunken sailors and now its time to tighten their belts too many years of squandering tax dollars with zero accountability has weakened our country defense contractors however have greedily profited from this reckless largess at taxpayers expense and detriment too much reckless non national defense operations are bankrupting us large cuts needed now
710109851,you mean when cinton did nothing which cause
710109851,did anyone notice that buck does not mean the buck stops here has he ever advocated a republican war tax to pay for bush's wars against iraq and afghanistan libya yemen iran somalia etc he is a typical evangelical corporate republican i have mine i'll take yours and the rest of you can go to hell
710109851,let me have a puff on that before you throw it away jackass
710109851,the constitution doesn't say to bankrupt the country with wasteful defense spending you right wing loons are like a broken record with your constant braying about defense spending being in the constitution get a life
710109851,well why did your party agree to the process to start with you are frigging idiots is why all of them both parties they act like elected royalty and have little to do with the common american
710109851,let them raise your taxes just like our founding fathers didn't intend fool
710109851,wh at gl enn sa id i am taken by sur prise that you can make in four weeks on the int ernet ha ve you se en this we bpage c l i c k o n m y n a m e f o r t h e l i n k
