influence,belief_x,belief_y
0.5,Against cuts to education,Against populism
0.0,Against cuts to education,Fossil fuel subsidies
0.4,Against cuts to education,Mental health services
0.4,Against cuts to education,Renewable energy investment
0.15,Against cuts to education,Stronger agricultural regulations
0.0,Against one-year master's programs,Against populism
0.0,Against one-year master's programs,Fossil fuel subsidies
0.0,Against one-year master's programs,Mental health services
0.0,Against one-year master's programs,Renewable energy investment
0.0,Against one-year master's programs,Stronger agricultural regulations
0.5,Against open borders,Against populism
0.25,Against open borders,Fossil fuel subsidies
0.5,Against open borders,Mental health services
0.25,Against open borders,Renewable energy investment
0.35,Against open borders,Stronger agricultural regulations
0.5,Against populism,Agricultural dominance reduction
0.5,Against populism,Balanced immigration policy
0.5,Against populism,Citizenship accessibility
0.25,Against populism,Climate change urgency
0.25,Against populism,European leadership in climate
0.5,Against populism,Eurozone economic concern
0.5,Against populism,Fossil fuel subsidies
0.5,Against populism,Integration challenges
0.25,Against populism,Mental health services
0.5,Against populism,Renewable energy investment
0.5,Against populism,Rewilding and subsidy reduction
0.5,Against populism,Stronger agricultural regulations
0.5,Against populism,Support for tech start-ups
0.5,Agricultural dominance reduction,Fossil fuel subsidies
0.0,Agricultural dominance reduction,Mental health services
0.5,Agricultural dominance reduction,Renewable energy investment
1.0,Agricultural dominance reduction,Stronger agricultural regulations
0.1,Balanced immigration policy,Fossil fuel subsidies
0.25,Balanced immigration policy,Mental health services
0.5,Balanced immigration policy,Renewable energy investment
0.5,Balanced immigration policy,Stronger agricultural regulations
0.25,Citizenship accessibility,Fossil fuel subsidies
0.5,Citizenship accessibility,Mental health services
0.5,Citizenship accessibility,Renewable energy investment
0.4,Citizenship accessibility,Stronger agricultural regulations
0.85,Climate change urgency,Fossil fuel subsidies
0.15,Climate change urgency,Mental health services
1.0,Climate change urgency,Renewable energy investment
0.85,Climate change urgency,Stronger agricultural regulations
0.5,European leadership in climate,Fossil fuel subsidies
0.0,European leadership in climate,Mental health services
0.6,European leadership in climate,Renewable energy investment
0.5,European leadership in climate,Stronger agricultural regulations
0.5,Eurozone economic concern,Fossil fuel subsidies
0.0,Eurozone economic concern,Mental health services
0.5,Eurozone economic concern,Renewable energy investment
0.4,Eurozone economic concern,Stronger agricultural regulations
0.1,Fossil fuel subsidies,Integration challenges
0.0,Fossil fuel subsidies,Mental health services
0.75,Fossil fuel subsidies,Renewable energy investment
0.5,Fossil fuel subsidies,Rewilding and subsidy reduction
0.5,Fossil fuel subsidies,Stronger agricultural regulations
0.35,Fossil fuel subsidies,Support for tech start-ups
0.5,Integration challenges,Mental health services
0.15,Integration challenges,Renewable energy investment
0.2,Integration challenges,Stronger agricultural regulations
0.0,Mental health services,Renewable energy investment
0.0,Mental health services,Rewilding and subsidy reduction
0.0,Mental health services,Stronger agricultural regulations
0.0,Mental health services,Support for tech start-ups
0.5,Renewable energy investment,Rewilding and subsidy reduction
0.5,Renewable energy investment,Stronger agricultural regulations
0.4,Renewable energy investment,Support for tech start-ups
0.75,Rewilding and subsidy reduction,Stronger agricultural regulations
0.2,Stronger agricultural regulations,Support for tech start-ups
