belief_x,belief_y,influence
Support for EU,Against nationalism,1.0
Support for EU,For economic equality,0.0
Support for EU,Support wealth distribution,0.2
Support for EU,Support social welfare,0.3
Support for EU,Support personal potential,0.0
Support for EU,Investment in science and education,0.0
Support for EU,Support consumer protection,0.2
Support for EU,Support separation of church and state,0.0
Support for EU,Against religious biases,0.0
Support for EU,Support fact-based discourse,0.0
Support for EU,Support gender equality,0.2
Support for EU,Support anti-racism,0.2
Against nationalism,Support for EU,0.5
Against nationalism,For economic equality,0.2
Against nationalism,Support wealth distribution,0.2
Against nationalism,Support social welfare,0.0
Against nationalism,Support personal potential,0.0
Against nationalism,Investment in science and education,0.0
Against nationalism,Support consumer protection,0.0
Against nationalism,Support separation of church and state,0.0
Against nationalism,Against religious biases,0.5
Against nationalism,Support fact-based discourse,0.2
Against nationalism,Support gender equality,0.0
Against nationalism,Support anti-racism,0.2
For economic equality,Support for EU,0.2
For economic equality,Against nationalism,0.2
For economic equality,Support wealth distribution,1.0
For economic equality,Support social welfare,1.0
For economic equality,Support personal potential,1.0
For economic equality,Investment in science and education,0.5
For economic equality,Support consumer protection,0.5
For economic equality,Support separation of church and state,0.0
For economic equality,Against religious biases,0.0
For economic equality,Support fact-based discourse,0.0
For economic equality,Support gender equality,0.5
For economic equality,Support anti-racism,0.5
Support wealth distribution,Support for EU,0.2
Support wealth distribution,Against nationalism,0.0
Support wealth distribution,For economic equality,1.0
Support wealth distribution,Support social welfare,0.5
Support wealth distribution,Support personal potential,1.0
Support wealth distribution,Investment in science and education,0.5
Support wealth distribution,Support consumer protection,0.5
Support wealth distribution,Support separation of church and state,0.0
Support wealth distribution,Against religious biases,0.0
Support wealth distribution,Support fact-based discourse,0.2
Support wealth distribution,Support gender equality,0.5
Support wealth distribution,Support anti-racism,0.3
Support social welfare,Support for EU,0.2
Support social welfare,Against nationalism,0.0
Support social welfare,For economic equality,0.5
Support social welfare,Support wealth distribution,1.0
Support social welfare,Support personal potential,1.0
Support social welfare,Investment in science and education,0.5
Support social welfare,Support consumer protection,0.5
Support social welfare,Support separation of church and state,0.0
Support social welfare,Against religious biases,0.0
Support social welfare,Support fact-based discourse,0.2
Support social welfare,Support gender equality,0.5
Support social welfare,Support anti-racism,0.3
Support personal potential,Support for EU,0.2
Support personal potential,Against nationalism,0.2
Support personal potential,For economic equality,0.5
Support personal potential,Support wealth distribution,0.7
Support personal potential,Support social welfare,0.2
Support personal potential,Investment in science and education,0.5
Support personal potential,Support consumer protection,0.5
Support personal potential,Support separation of church and state,0.0
Support personal potential,Against religious biases,0.5
Support personal potential,Support fact-based discourse,0.3
Support personal potential,Support gender equality,0.2
Support personal potential,Support anti-racism,0.0
Investment in science and education,Support for EU,0.2
Investment in science and education,Against nationalism,0.0
Investment in science and education,For economic equality,0.2
Investment in science and education,Support wealth distribution,0.2
Investment in science and education,Support social welfare,0.2
Investment in science and education,Support personal potential,0.5
Investment in science and education,Support consumer protection,0.5
Investment in science and education,Support separation of church and state,0.0
Investment in science and education,Against religious biases,0.0
Investment in science and education,Support fact-based discourse,0.5
Investment in science and education,Support gender equality,0.2
Investment in science and education,Support anti-racism,0.0
Support consumer protection,Support for EU,0.0
Support consumer protection,Against nationalism,0.0
Support consumer protection,For economic equality,0.3
Support consumer protection,Support wealth distribution,0.2
Support consumer protection,Support social welfare,0.5
Support consumer protection,Support personal potential,0.2
Support consumer protection,Investment in science and education,0.0
Support consumer protection,Support separation of church and state,0.0
Support consumer protection,Against religious biases,0.0
Support consumer protection,Support fact-based discourse,0.2
Support consumer protection,Support gender equality,0.0
Support consumer protection,Support anti-racism,0.0
Support separation of church and state,Support for EU,0.0
Support separation of church and state,Against nationalism,0.0
Support separation of church and state,For economic equality,0.0
Support separation of church and state,Support wealth distribution,0.0
Support separation of church and state,Support social welfare,0.0
Support separation of church and state,Support personal potential,0.5
Support separation of church and state,Investment in science and education,0.0
Support separation of church and state,Support consumer protection,0.2
Support separation of church and state,Against religious biases,0.5
Support separation of church and state,Support fact-based discourse,0.5
Support separation of church and state,Support gender equality,0.0
Support separation of church and state,Support anti-racism,0.0
