influence,belief_x,belief_y
0.5,Against cuts to education,Against one-year master's programs
0.5,Against cuts to education,Against open borders
0.1,Against cuts to education,Agricultural dominance reduction
0.4,Against cuts to education,Balanced immigration policy
0.35,Against cuts to education,Citizenship accessibility
0.25,Against cuts to education,Climate change urgency
0.25,Against cuts to education,European leadership in climate
0.25,Against cuts to education,Eurozone economic concern
0.25,Against cuts to education,Integration challenges
0.35,Against cuts to education,Rewilding and subsidy reduction
0.4,Against cuts to education,Support for tech start-ups
0.3,Against one-year master's programs,Against open borders
0.15,Against one-year master's programs,Agricultural dominance reduction
0.15,Against one-year master's programs,Balanced immigration policy
0.25,Against one-year master's programs,Citizenship accessibility
0.1,Against one-year master's programs,Climate change urgency
0.1,Against one-year master's programs,European leadership in climate
0.0,Against one-year master's programs,Eurozone economic concern
0.25,Against one-year master's programs,Integration challenges
0.25,Against one-year master's programs,Rewilding and subsidy reduction
0.25,Against one-year master's programs,Support for tech start-ups
0.35,Against open borders,Agricultural dominance reduction
0.5,Against open borders,Balanced immigration policy
0.5,Against open borders,Citizenship accessibility
0.4,Against open borders,Climate change urgency
0.2,Against open borders,European leadership in climate
0.4,Against open borders,Eurozone economic concern
0.5,Against open borders,Integration challenges
0.35,Against open borders,Rewilding and subsidy reduction
0.4,Against open borders,Support for tech start-ups
0.5,Agricultural dominance reduction,Balanced immigration policy
0.4,Agricultural dominance reduction,Citizenship accessibility
0.5,Agricultural dominance reduction,Climate change urgency
0.5,Agricultural dominance reduction,European leadership in climate
0.4,Agricultural dominance reduction,Eurozone economic concern
0.35,Agricultural dominance reduction,Integration challenges
0.6,Agricultural dominance reduction,Rewilding and subsidy reduction
0.35,Agricultural dominance reduction,Support for tech start-ups
0.5,Balanced immigration policy,Citizenship accessibility
0.5,Balanced immigration policy,Climate change urgency
0.25,Balanced immigration policy,European leadership in climate
0.5,Balanced immigration policy,Eurozone economic concern
0.5,Balanced immigration policy,Integration challenges
0.35,Balanced immigration policy,Rewilding and subsidy reduction
0.5,Balanced immigration policy,Support for tech start-ups
0.4,Citizenship accessibility,Climate change urgency
0.25,Citizenship accessibility,European leadership in climate
0.5,Citizenship accessibility,Eurozone economic concern
0.5,Citizenship accessibility,Integration challenges
0.4,Citizenship accessibility,Rewilding and subsidy reduction
0.3,Citizenship accessibility,Support for tech start-ups
0.5,Climate change urgency,European leadership in climate
0.25,Climate change urgency,Eurozone economic concern
0.35,Climate change urgency,Integration challenges
0.5,Climate change urgency,Rewilding and subsidy reduction
0.4,Climate change urgency,Support for tech start-ups
0.35,European leadership in climate,Eurozone economic concern
0.4,European leadership in climate,Integration challenges
0.4,European leadership in climate,Rewilding and subsidy reduction
0.25,European leadership in climate,Support for tech start-ups
0.4,Eurozone economic concern,Integration challenges
0.4,Eurozone economic concern,Rewilding and subsidy reduction
0.5,Eurozone economic concern,Support for tech start-ups
0.5,Integration challenges,Rewilding and subsidy reduction
0.5,Integration challenges,Support for tech start-ups
0.25,Rewilding and subsidy reduction,Support for tech start-ups
