influence,belief_x,belief_y
0.25,Affordable housing,Against nationalism
0.15,Affordable housing,Against religious biases
0.75,Affordable housing,For economic equality
0.5,Affordable housing,Inclusive immigration
0.5,Affordable housing,Investment in science and education
0.5,Affordable housing,Mental health support
0.5,Affordable housing,Support anti-racism
0.5,Affordable housing,Support consumer protection
0.25,Affordable housing,Support fact-based discourse
0.35,Affordable housing,Support for EU
0.25,Affordable housing,Support gender equality
0.6,Affordable housing,Support personal potential
0.1,Affordable housing,Support separation of church and state
0.75,Affordable housing,Support social welfare
0.75,Affordable housing,Support wealth distribution
0.5,Affordable housing,Sustainable energy
0.5,Affordable housing,Universal healthcare
0.75,Against nationalism,Inclusive immigration
0.0,Against nationalism,Mental health support
0.25,Against nationalism,Sustainable energy
0.25,Against nationalism,Universal healthcare
0.5,Against religious biases,Inclusive immigration
0.25,Against religious biases,Mental health support
0.0,Against religious biases,Sustainable energy
0.25,Against religious biases,Universal healthcare
0.5,For economic equality,Inclusive immigration
0.75,For economic equality,Mental health support
0.5,For economic equality,Sustainable energy
0.75,For economic equality,Universal healthcare
0.5,Inclusive immigration,Investment in science and education
0.5,Inclusive immigration,Mental health support
0.5,Inclusive immigration,Support anti-racism
0.5,Inclusive immigration,Support consumer protection
0.5,Inclusive immigration,Support fact-based discourse
0.5,Inclusive immigration,Support for EU
0.5,Inclusive immigration,Support gender equality
0.5,Inclusive immigration,Support personal potential
0.5,Inclusive immigration,Support separation of church and state
0.5,Inclusive immigration,Support social welfare
0.5,Inclusive immigration,Support wealth distribution
0.25,Inclusive immigration,Sustainable energy
0.5,Inclusive immigration,Universal healthcare
0.5,Investment in science and education,Mental health support
0.5,Investment in science and education,Sustainable energy
0.5,Investment in science and education,Universal healthcare
0.25,Mental health support,Support anti-racism
0.5,Mental health support,Support consumer protection
0.25,Mental health support,Support fact-based discourse
0.0,Mental health support,Support for EU
0.35,Mental health support,Support gender equality
0.5,Mental health support,Support personal potential
0.0,Mental health support,Support separation of church and state
1.0,Mental health support,Support social welfare
0.6,Mental health support,Support wealth distribution
0.25,Mental health support,Sustainable energy
0.75,Mental health support,Universal healthcare
0.0,Support anti-racism,Sustainable energy
0.5,Support anti-racism,Universal healthcare
0.5,Support consumer protection,Sustainable energy
0.5,Support consumer protection,Universal healthcare
0.25,Support fact-based discourse,Sustainable energy
0.25,Support fact-based discourse,Universal healthcare
0.5,Support for EU,Sustainable energy
0.35,Support for EU,Universal healthcare
0.25,Support gender equality,Sustainable energy
0.15,Support gender equality,Universal healthcare
0.5,Support personal potential,Sustainable energy
0.7,Support personal potential,Universal healthcare
0.0,Support separation of church and state,Sustainable energy
0.1,Support separation of church and state,Universal healthcare
0.4,Support social welfare,Sustainable energy
1.0,Support social welfare,Universal healthcare
0.25,Support wealth distribution,Sustainable energy
0.75,Support wealth distribution,Universal healthcare
0.5,Sustainable energy,Universal healthcare
