belief_x,belief_y,influence
Climate change urgency,European leadership in climate,0.5
Climate change urgency,Rewilding and subsidy reduction,0.5
Climate change urgency,Agricultural dominance reduction,0.5
Climate change urgency,Eurozone economic concern,0.5
Climate change urgency,Support for tech start-ups,0.5
Climate change urgency,Balanced immigration policy,0.5
Climate change urgency,Citizenship accessibility,0.5
Climate change urgency,Integration challenges,0.5
Climate change urgency,Against open borders,0.5
Climate change urgency,Against one-year master's programs,0.2
Climate change urgency,Against cuts to education,0.5
European leadership in climate,Climate change urgency,0.5
European leadership in climate,Rewilding and subsidy reduction,0.5
European leadership in climate,Agricultural dominance reduction,0.5
European leadership in climate,Eurozone economic concern,0.5
European leadership in climate,Support for tech start-ups,0.2
European leadership in climate,Balanced immigration policy,0.0
European leadership in climate,Citizenship accessibility,0.3
European leadership in climate,Integration challenges,0.5
European leadership in climate,Against open borders,0.2
European leadership in climate,Against one-year master's programs,0.2
European leadership in climate,Against cuts to education,0.5
Rewilding and subsidy reduction,Climate change urgency,0.5
Rewilding and subsidy reduction,European leadership in climate,0.3
Rewilding and subsidy reduction,Agricultural dominance reduction,0.5
Rewilding and subsidy reduction,Eurozone economic concern,0.3
Rewilding and subsidy reduction,Support for tech start-ups,0.2
Rewilding and subsidy reduction,Balanced immigration policy,0.5
Rewilding and subsidy reduction,Citizenship accessibility,0.5
Rewilding and subsidy reduction,Integration challenges,0.5
Rewilding and subsidy reduction,Against open borders,0.2
Rewilding and subsidy reduction,Against one-year master's programs,0.5
Rewilding and subsidy reduction,Against cuts to education,0.5
Agricultural dominance reduction,Climate change urgency,0.5
Agricultural dominance reduction,European leadership in climate,0.5
Agricultural dominance reduction,Rewilding and subsidy reduction,0.7
Agricultural dominance reduction,Eurozone economic concern,0.5
Agricultural dominance reduction,Support for tech start-ups,0.5
Agricultural dominance reduction,Balanced immigration policy,0.5
Agricultural dominance reduction,Citizenship accessibility,0.5
Agricultural dominance reduction,Integration challenges,0.5
Agricultural dominance reduction,Against open borders,0.5
Agricultural dominance reduction,Against one-year master's programs,0.3
Agricultural dominance reduction,Against cuts to education,0.2
Eurozone economic concern,Climate change urgency,0.0
Eurozone economic concern,European leadership in climate,0.2
Eurozone economic concern,Rewilding and subsidy reduction,0.5
Eurozone economic concern,Agricultural dominance reduction,0.3
Eurozone economic concern,Support for tech start-ups,0.5
Eurozone economic concern,Balanced immigration policy,0.5
Eurozone economic concern,Citizenship accessibility,0.5
Eurozone economic concern,Integration challenges,0.5
Eurozone economic concern,Against open borders,0.5
Eurozone economic concern,Against one-year master's programs,0.0
Eurozone economic concern,Against cuts to education,0.3
Support for tech start-ups,Climate change urgency,0.3
Support for tech start-ups,European leadership in climate,0.3
Support for tech start-ups,Rewilding and subsidy reduction,0.3
Support for tech start-ups,Agricultural dominance reduction,0.2
Support for tech start-ups,Eurozone economic concern,0.5
Support for tech start-ups,Balanced immigration policy,0.5
Support for tech start-ups,Citizenship accessibility,0.3
Support for tech start-ups,Integration challenges,0.5
Support for tech start-ups,Against open borders,0.3
Support for tech start-ups,Against one-year master's programs,0.3
Support for tech start-ups,Against cuts to education,0.5
Balanced immigration policy,Climate change urgency,0.5
Balanced immigration policy,European leadership in climate,0.5
Balanced immigration policy,Rewilding and subsidy reduction,0.2
Balanced immigration policy,Agricultural dominance reduction,0.5
Balanced immigration policy,Eurozone economic concern,0.5
Balanced immigration policy,Support for tech start-ups,0.5
Balanced immigration policy,Citizenship accessibility,0.5
Balanced immigration policy,Integration challenges,0.5
Balanced immigration policy,Against open borders,0.5
Balanced immigration policy,Against one-year master's programs,0.3
Balanced immigration policy,Against cuts to education,0.3
Citizenship accessibility,Climate change urgency,0.3
Citizenship accessibility,European leadership in climate,0.2
Citizenship accessibility,Rewilding and subsidy reduction,0.3
Citizenship accessibility,Agricultural dominance reduction,0.3
Citizenship accessibility,Eurozone economic concern,0.5
Citizenship accessibility,Support for tech start-ups,0.3
Citizenship accessibility,Balanced immigration policy,0.5
Citizenship accessibility,Integration challenges,0.5
Citizenship accessibility,Against open borders,0.5
Citizenship accessibility,Against one-year master's programs,0.0
Citizenship accessibility,Against cuts to education,0.5
Integration challenges,Climate change urgency,0.2
Integration challenges,European leadership in climate,0.3
Integration challenges,Rewilding and subsidy reduction,0.5
Integration challenges,Agricultural dominance reduction,0.2
Integration challenges,Eurozone economic concern,0.3
Integration challenges,Support for tech start-ups,0.5
Integration challenges,Balanced immigration policy,0.5
Integration challenges,Citizenship accessibility,0.5
Integration challenges,Against open borders,0.5
Integration challenges,Against one-year master's programs,0.5
Integration challenges,Against cuts to education,0.3
Against open borders,Climate change urgency,0.3
Against open borders,European leadership in climate,0.2
Against open borders,Rewilding and subsidy reduction,0.5
Against open borders,Agricultural dominance reduction,0.2
Against open borders,Eurozone economic concern,0.3
Against open borders,Support for tech start-ups,0.5
Against open borders,Balanced immigration policy,0.5
Against open borders,Citizenship accessibility,0.5
Against open borders,Integration challenges,0.5
Against open borders,Against one-year master's programs,0.3
Against open borders,Against cuts to education,0.5
Against one-year master's programs,Climate change urgency,0.0
Against one-year master's programs,European leadership in climate,0.0
Against one-year master's programs,Rewilding and subsidy reduction,0.0
Against one-year master's programs,Agricultural dominance reduction,0.0
Against one-year master's programs,Eurozone economic concern,0.0
Against one-year master's programs,Support for tech start-ups,0.2
Against one-year master's programs,Balanced immigration policy,0.0
Against one-year master's programs,Citizenship accessibility,0.5
Against one-year master's programs,Integration challenges,0.0
Against one-year master's programs,Against open borders,0.3
Against one-year master's programs,Against cuts to education,0.5
Against cuts to education,Climate change urgency,0.0
Against cuts to education,European leadership in climate,0.0
Against cuts to education,Rewilding and subsidy reduction,0.2
Against cuts to education,Agricultural dominance reduction,0.0
Against cuts to education,Eurozone economic concern,0.2
Against cuts to education,Support for tech start-ups,0.3
Against cuts to education,Balanced immigration policy,0.5
Against cuts to education,Citizenship accessibility,0.2
Against cuts to education,Integration challenges,0.2
Against cuts to education,Against open borders,0.5
Against cuts to education,Against one-year master's programs,0.5
