influence,belief_x,belief_y
0.25,Against nationalism,Against religious biases
0.2,Against nationalism,For economic equality
0.0,Against nationalism,Investment in science and education
0.1,Against nationalism,Support anti-racism
0.0,Against nationalism,Support consumer protection
0.1,Against nationalism,Support fact-based discourse
0.75,Against nationalism,Support for EU
0.0,Against nationalism,Support gender equality
0.1,Against nationalism,Support personal potential
0.0,Against nationalism,Support separation of church and state
0.0,Against nationalism,Support social welfare
0.1,Against nationalism,Support wealth distribution
0.0,Against religious biases,For economic equality
0.0,Against religious biases,Investment in science and education
0.25,Against religious biases,Support anti-racism
0.0,Against religious biases,Support consumer protection
0.5,Against religious biases,Support fact-based discourse
0.0,Against religious biases,Support for EU
0.25,Against religious biases,Support gender equality
0.25,Against religious biases,Support personal potential
0.5,Against religious biases,Support separation of church and state
0.0,Against religious biases,Support social welfare
0.0,Against religious biases,Support wealth distribution
0.35,For economic equality,Investment in science and education
0.25,For economic equality,Support anti-racism
0.4,For economic equality,Support consumer protection
0.0,For economic equality,Support fact-based discourse
0.1,For economic equality,Support for EU
0.5,For economic equality,Support gender equality
0.75,For economic equality,Support personal potential
0.0,For economic equality,Support separation of church and state
0.75,For economic equality,Support social welfare
1.0,For economic equality,Support wealth distribution
0.0,Investment in science and education,Support anti-racism
0.25,Investment in science and education,Support consumer protection
0.35,Investment in science and education,Support fact-based discourse
0.1,Investment in science and education,Support for EU
0.1,Investment in science and education,Support gender equality
0.5,Investment in science and education,Support personal potential
0.0,Investment in science and education,Support separation of church and state
0.35,Investment in science and education,Support social welfare
0.35,Investment in science and education,Support wealth distribution
0.15,Support anti-racism,Support consumer protection
0.5,Support anti-racism,Support fact-based discourse
0.35,Support anti-racism,Support for EU
0.5,Support anti-racism,Support gender equality
0.25,Support anti-racism,Support personal potential
0.15,Support anti-racism,Support separation of church and state
0.25,Support anti-racism,Support social welfare
0.15,Support anti-racism,Support wealth distribution
0.35,Support consumer protection,Support fact-based discourse
0.1,Support consumer protection,Support for EU
0.25,Support consumer protection,Support gender equality
0.35,Support consumer protection,Support personal potential
0.1,Support consumer protection,Support separation of church and state
0.5,Support consumer protection,Support social welfare
0.35,Support consumer protection,Support wealth distribution
0.25,Support fact-based discourse,Support for EU
0.1,Support fact-based discourse,Support gender equality
0.4,Support fact-based discourse,Support personal potential
0.5,Support fact-based discourse,Support separation of church and state
0.2,Support fact-based discourse,Support social welfare
0.25,Support fact-based discourse,Support wealth distribution
0.2,Support for EU,Support gender equality
0.1,Support for EU,Support personal potential
0.0,Support for EU,Support separation of church and state
0.25,Support for EU,Support social welfare
0.2,Support for EU,Support wealth distribution
0.35,Support gender equality,Support personal potential
0.0,Support gender equality,Support separation of church and state
0.5,Support gender equality,Support social welfare
0.35,Support gender equality,Support wealth distribution
0.25,Support personal potential,Support separation of church and state
0.6,Support personal potential,Support social welfare
0.85,Support personal potential,Support wealth distribution
0.0,Support separation of church and state,Support social welfare
0.0,Support separation of church and state,Support wealth distribution
0.75,Support social welfare,Support wealth distribution
