influence,belief_x,belief_y
0.4,against anti-immigration,anti-corporate influence
0.5,against anti-immigration,anti-discrimination
0.25,against anti-immigration,education reform
0.25,against anti-immigration,environmental sustainability
0.75,against anti-immigration,social equality
0.5,against austerity,anti-corporate influence
0.5,against austerity,anti-discrimination
0.75,against austerity,education reform
0.5,against austerity,environmental sustainability
0.6,against austerity,social equality
0.5,against isolationism,anti-corporate influence
0.5,against isolationism,anti-discrimination
0.25,against isolationism,education reform
0.5,against isolationism,environmental sustainability
0.5,against isolationism,social equality
0.5,against nationalism,anti-corporate influence
0.75,against nationalism,anti-discrimination
0.5,against nationalism,education reform
0.5,against nationalism,environmental sustainability
0.5,against nationalism,social equality
0.5,anti-corporate influence,anti-discrimination
0.5,anti-corporate influence,education reform
0.5,anti-corporate influence,environmental sustainability
0.5,anti-corporate influence,for globalist policies
0.5,anti-corporate influence,for progressive migration
0.5,anti-corporate influence,for public spending
0.5,anti-corporate influence,social equality
0.5,anti-discrimination,education reform
0.5,anti-discrimination,environmental sustainability
0.5,anti-discrimination,for globalist policies
0.5,anti-discrimination,for progressive migration
0.5,anti-discrimination,for public spending
0.75,anti-discrimination,social equality
0.5,education reform,environmental sustainability
0.5,education reform,for globalist policies
0.5,education reform,for progressive migration
0.75,education reform,for public spending
0.6,education reform,social equality
0.5,environmental sustainability,for globalist policies
0.5,environmental sustainability,for progressive migration
0.5,environmental sustainability,for public spending
0.5,environmental sustainability,social equality
0.5,for globalist policies,social equality
0.5,for progressive migration,social equality
0.7,for public spending,social equality
