influence,belief_x,belief_y
0.5,against anti-immigration,against austerity
0.5,against anti-immigration,against isolationism
0.5,against anti-immigration,against nationalism
0.5,against anti-immigration,for globalist policies
0.75,against anti-immigration,for progressive migration
0.5,against anti-immigration,for public spending
0.5,against austerity,against isolationism
0.5,against austerity,against nationalism
0.5,against austerity,for globalist policies
0.5,against austerity,for progressive migration
0.75,against austerity,for public spending
0.5,against isolationism,against nationalism
0.6,against isolationism,for globalist policies
0.5,against isolationism,for progressive migration
0.5,against isolationism,for public spending
0.5,against nationalism,for globalist policies
0.5,against nationalism,for progressive migration
0.5,against nationalism,for public spending
0.5,for globalist policies,for progressive migration
0.5,for globalist policies,for public spending
0.5,for progressive migration,for public spending
